candidate,tweet_time,tweet_text,tweet_lang
BernieSanders,2016-06-23 02:47:58,"RT @DFAaction: State by state, candidates like @EricKingsonNY are working to bring #OurRevolution to Washington. #CNY #UniteBlue https://t.…",en
BernieSanders,2016-06-23 01:56:12,"It is time to expand Social Security, not cut it.
https://t.co/aFr9lAeVeH",en
BernieSanders,2016-06-23 00:43:08,The Republican Party now controls both the governors’ mansions and statehouses in 23 states. That is just unacceptable.,en
BernieSanders,2016-06-22 23:12:35,Call voters for @ZephyrTeachout: https://t.co/jrXadEwn7c https://t.co/akDLHhSlZI,en
BernieSanders,2016-06-22 23:02:04,Election days come and go. But political and social revolutions that attempt to transform our society never end. https://t.co/yatrzcdJIg,en
BernieSanders,2016-06-22 22:36:05,"RT @scottbix: Thirty-one years ago, @BernieSanders proclaimed ""Gay Pride Day"" in Burlington. https://t.co/6WzHRicuDr",en
BernieSanders,2016-06-22 21:22:09,".@realDonaldTrump's agenda of tax cuts for the rich, lower wages and divisive, bigoted rhetoric is contrary to everything we stand for.",en
BernieSanders,2016-06-22 20:51:02,We must aggressively combat climate change by moving to energy efficiency and sustainable energy and imposing a tax on carbon.,en
BernieSanders,2016-06-22 17:11:03,RT @NALEO: Democratic Presidential Candidate @BernieSanders to Address #NALEOConf16 in Washington D.C. https://t.co/7DeJRI6fnM https://t.co…,en
BernieSanders,2016-06-22 17:04:57,"This is the energy we need to transform the Democratic Party, take on special interests and transform our country.
https://t.co/IG1pLCVTxh",en
BernieSanders,2016-06-22 16:02:06,The Democratic Party needs a 50-state strategy. We may not win in every state tomorrow but we must provide resources to these states.,en
BernieSanders,2016-06-22 13:49:02,"Sadly, the current Democratic leadership has turned its back on dozens of states and allowed right-wing politicians to win elections.",en
BernieSanders,2016-06-22 00:12:01,"We must resist all efforts to cut Social Security. Instead, we've gotta fight to expand benefits for our seniors and disabled veterans.",en
BernieSanders,2016-06-21 22:32:06,"The greed, recklessness and illegal behavior on Wall Street has got to end. It's up to us to end it for them.",en
BernieSanders,2016-06-21 20:48:02,We must defeat the Trans-Pacific Partnership and make certain that it does not get a vote in a lame-duck session of Congress.,en
BernieSanders,2016-06-21 19:21:01,"From Flint, Michigan to California we have communities unable to drink the polluted water that comes out of their faucets. In the year 2016.",en
BernieSanders,2016-06-21 17:27:04,The reality is that today millions of our fellow Americans are working at starvation wages.,en
BernieSanders,2016-06-21 15:42:02,Our brave young men and women in the military should not thrown into perpetual warfare in wars we should not be fighting.,en
BernieSanders,2016-06-21 13:57:07,"Health care is a right, not a privilege. It's time for the United States to implement a single-payer system like Medicare for all.",en
BernieSanders,2016-06-21 01:57:05,We must ban fracking if we want to protect our water supply.,en
BernieSanders,2016-06-21 00:20:15,"It’s not very hard to understand that potential terrorists, criminals and the dangerously mentally ill should not have access to guns.",en
BernieSanders,2016-06-21 00:19:31,These proposals are commonsense. It is incomprehensible as to why Republicans would oppose them. #DisarmHate  https://t.co/Led5kKKQy6,en
BernieSanders,2016-06-20 23:51:01,America has always been a beacon of hope for those fleeing violence and persecution. We cannot turn our backs on refugees. #WorldRefugeeDay,en
BernieSanders,2016-06-20 22:30:52,Our welcoming nature has been a point of pride for decades: we believe in helping all refugees from around the world. #WorldRefugeeDay,en
BernieSanders,2016-06-20 20:52:05,We can't allow guns to fall into the hands of people who shouldn't have them and that includes those on the terror watch list.,en
BernieSanders,2016-06-20 20:14:03,It's long past time to end the gun show loophole and expand instant background checks.,en
BernieSanders,2016-06-20 18:48:03,"Today, millions of bright young kids are struggling with suffocating levels of student debt. As a nation we must end that disgrace.",en
BernieSanders,2016-06-20 17:40:08,"RT @Tim_Canova: I’m Tim Canova and I’m challenging Wasserman Schultz in the Democratic primary for Florida’s 23rd district. AMA!
https://t.…",en
BernieSanders,2016-06-20 17:07:03,Why is it that in the richest country on earth we are experiencing the highest level of childhood poverty of almost any major country?,en
