"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"action",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"administration",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"agenda",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"american",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"americans",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"analysts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"argued",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"back",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"bill",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"border",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"broadly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"brought",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"campaign",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"care",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"case",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"claim",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clear",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"companies",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"concerns",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"congress",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"congressional",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"conservatives",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"continued",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"country",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"court",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"democrats",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"efforts",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"election",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"executive",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"experts",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"face",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"foreign",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"government",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"hard",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"health",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"immediately",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"immigrants",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"including",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"issue",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leader",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leaders",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"leaving",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"legislation",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"made",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"majority",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"meet",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"meeting",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"members",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"months",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"multiple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"national",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"obama",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"office",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"officials",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"order",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"part",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"parts",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"party",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"pass",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"percent",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plan",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"policy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"position",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"president",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"program",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"promise",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"public",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"released",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
