"","1","2","3","4","5","6","7","8","9","10"
"administration",1,0,0,0,0,0,0,0,0,0
"agenda",1,0,0,0,0,0,0,0,0,0
"americanEnergy",1,0,0,0,0,0,0,0,0,0
"AmericanHealthCareAct",1,0,0,0,0,0,0,0,0,0
"attorneyGeneral",1,0,0,0,0,0,0,0,0,0
"autoManufacturing",1,0,0,0,0,0,0,0,0,0
"barackObama",1,0,0,0,0,0,0,0,0,0
"bill",1,0,0,0,0,0,0,0,0,0
"border",1,0,0,0,0,0,0,0,0,0
"budgetCuts",1,0,0,0,0,0,0,0,0,0
"business",0,1,0,0,0,0,0,0,0,0
"campaign",1,0,0,0,0,0,0,0,0,0
"China",0,0,1,0,0,0,0,0,0,0
"cleanEnergy",0,0,0,0,1,0,0,0,0,0
"climateChange",1,0,0,0,0,0,0,0,0,0
"coalMiners",1,0,0,0,0,0,0,0,0,0
"confirmationHearings",1,0,0,0,0,0,0,0,0,0
"congress",1,0,0,0,0,0,0,0,0,0
"conservative",1,0,0,0,0,0,0,0,0,0
"construction",1,0,0,0,0,0,0,0,0,0
"ConsumerPermission",1,0,0,0,0,0,0,0,0,0
"cost",1,0,0,0,0,0,0,0,0,0
"democracy",1,0,0,0,0,0,0,0,0,0
"democraticParty",1,0,0,0,0,0,0,0,0,0
"domesticSecurity",1,0,0,0,0,0,0,0,0,0
"economy",0,1,0,0,0,0,0,0,0,0
"election",0,0,0,0,0,0,1,0,0,0
"email",1,0,0,0,0,0,0,0,0,0
"emergencyStay",1,0,0,0,0,0,0,0,0,0
"energy",1,0,0,0,0,0,0,0,0,0
"entryIntoUS",1,0,0,0,0,0,0,0,0,0
"environment",1,0,0,0,0,0,0,0,0,0
"environmentalRegulation",1,0,0,0,0,0,0,0,0,0
"EPA",1,0,0,0,0,0,0,0,0,0
"executiveOrder",1,0,0,0,0,0,0,0,0,0
"FCC",1,0,0,0,0,0,0,0,0,0
"filibuster",0,0,1,0,0,0,0,0,0,0
"foreignAid",1,0,0,0,0,0,0,0,0,0
"foreignCountry",1,0,0,0,0,0,0,0,0,0
"foreigner",0,0,0,0,0,0,0,0,0,1
"freeTrade",1,0,0,0,0,0,0,0,0,0
"government",0,0,0,1,0,0,0,0,0,0
"hack",1,0,0,0,0,0,0,0,0,0
"Healthcare",1,0,0,0,0,0,0,0,0,0
"hillaryClinton",1,0,0,0,0,0,0,0,0,0
"hiringFreeze",1,0,0,0,0,0,0,0,0,0
"HouseofRepresentatives",0,0,0,0,0,0,0,1,0,0
"houseRepublican",1,0,0,0,0,0,0,0,0,0
"immigrant",1,0,0,0,0,0,0,0,0,0
"immigration",1,0,0,0,0,0,0,0,0,0
"intelligenceAgency",1,0,0,0,0,0,0,0,0,0
"internetHistory",1,0,0,0,0,0,0,0,0,0
"InternetUser",1,0,0,0,0,0,0,0,0,0
