,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Healthcare,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,0,0,3,0,0,0,0,10,6,0,2,0,2,0,0,0,12
AmericanHealthCareAct,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,9,0,1,0,0,0,25
repealAndReplace,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0,0,15
unitedStates,2,6,3,0,0,1,0,1,1,0,0,0,0,2,1,0,1,1,2,0,13,2,1,2,9,1,4,1,0,1,0,2,3,1,0,0,2,2,0,0,1,5,6,1,0,3,5,4,1
publicSafety,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,2,0,0,0
travelBan,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,7,2,8,8,1,0
domesticSecurity,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,20,0,0,0,4,0,0,3,0,0,0,0,4,0,0,0,0,0,0,1,7,0,1,0
executiveOrder,0,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,18,9,3,10,11,0,1,0,0,0,8,0,4,0,0,0,0,0,0,0,5,1,9,0,0,0
wall,0,0,1,0,0,0,0,2,0,0,0,0,0,0,21,0,1,15,0,0,0,0,0,0,2,0,0,0,0,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0
president,14,14,1,16,10,26,13,13,8,17,18,12,31,83,11,1,36,9,26,17,18,27,24,18,81,37,5,11,6,13,2,10,9,16,6,4,11,4,3,27,27,18,1,11,28,41,19,19,17
republican,0,1,0,2,1,0,1,3,1,2,0,4,1,0,4,1,1,7,1,0,1,8,0,0,8,0,0,1,0,1,0,0,0,0,12,0,0,0,10,3,10,0,10,0,9,2,4,0,27
republicanLawmakers,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
republicanLeaders,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0
gopleaders,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,6,0,4,0,1,0,0,0,9
freedomCaucas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
barackObama,1,0,3,0,4,0,0,3,0,0,7,2,6,2,1,0,4,0,6,1,7,3,2,7,1,7,0,4,0,0,0,4,3,0,2,0,0,0,3,0,1,0,0,0,2,4,12,0,6
washington,0,0,4,0,1,0,0,0,1,0,3,0,1,4,1,1,0,0,1,0,2,0,0,0,3,3,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,2,3,0,5,1,1,1,1
