"","X1","X2","X3","X4","X5","X6"
"1","DSI_01.txt","DSI_09.txt","DSI_14.txt","DSI_27.txt","DSI_31.txt","DSI_39.txt"
"2","DSI_02.txt","DSI_12.txt",NA,NA,"DSI_37.txt",NA
"3","DSI_03.txt","DSI_25.txt",NA,NA,NA,NA
"4","DSI_04.txt","DSI_29.txt",NA,NA,NA,NA
"5","DSI_05.txt","DSI_35.txt",NA,NA,NA,NA
"6","DSI_06.txt","DSI_43.txt",NA,NA,NA,NA
"7","DSI_07.txt","DSI_49.txt",NA,NA,NA,NA
"8","DSI_08.txt",NA,NA,NA,NA,NA
"9","DSI_10.txt",NA,NA,NA,NA,NA
"10","DSI_11.txt",NA,NA,NA,NA,NA
"11","DSI_13.txt",NA,NA,NA,NA,NA
"12","DSI_15.txt",NA,NA,NA,NA,NA
"13","DSI_16.txt",NA,NA,NA,NA,NA
"14","DSI_17.txt",NA,NA,NA,NA,NA
"15","DSI_18.txt",NA,NA,NA,NA,NA
"16","DSI_19.txt",NA,NA,NA,NA,NA
"17","DSI_20.txt",NA,NA,NA,NA,NA
"18","DSI_21.txt",NA,NA,NA,NA,NA
"19","DSI_22.txt",NA,NA,NA,NA,NA
"20","DSI_23.txt",NA,NA,NA,NA,NA
"21","DSI_24.txt",NA,NA,NA,NA,NA
"22","DSI_26.txt",NA,NA,NA,NA,NA
"23","DSI_28.txt",NA,NA,NA,NA,NA
"24","DSI_30.txt",NA,NA,NA,NA,NA
"25","DSI_32.txt",NA,NA,NA,NA,NA
"26","DSI_33.txt",NA,NA,NA,NA,NA
"27","DSI_34.txt",NA,NA,NA,NA,NA
"28","DSI_36.txt",NA,NA,NA,NA,NA
"29","DSI_38.txt",NA,NA,NA,NA,NA
"30","DSI_40.txt",NA,NA,NA,NA,NA
"31","DSI_41.txt",NA,NA,NA,NA,NA
"32","DSI_42.txt",NA,NA,NA,NA,NA
"33","DSI_44.txt",NA,NA,NA,NA,NA
"34","DSI_45.txt",NA,NA,NA,NA,NA
"35","DSI_46.txt",NA,NA,NA,NA,NA
"36","DSI_47.txt",NA,NA,NA,NA,NA
"37","DSI_48.txt",NA,NA,NA,NA,NA
