"","DSI_01.txt","DSI_02.txt","DSI_03.txt","DSI_04.txt","DSI_05.txt","DSI_06.txt","DSI_07.txt","DSI_08.txt","DSI_09.txt","DSI_10.txt","DSI_11.txt","DSI_12.txt","DSI_13.txt","DSI_14.txt","DSI_15.txt","DSI_16.txt","DSI_17.txt","DSI_18.txt","DSI_19.txt","DSI_20.txt","DSI_21.txt","DSI_22.txt","DSI_23.txt","DSI_24.txt","DSI_25.txt","DSI_26.txt","DSI_27.txt","DSI_28.txt","DSI_29.txt","DSI_30.txt","DSI_31.txt","DSI_32.txt","DSI_33.txt","DSI_34.txt","DSI_35.txt","DSI_36.txt","DSI_37.txt","DSI_38.txt","DSI_39.txt","DSI_40.txt","DSI_41.txt","DSI_42.txt","DSI_43.txt","DSI_44.txt","DSI_45.txt","DSI_46.txt","DSI_47.txt","DSI_48.txt","DSI_49.txt"
"administr",1,0,1,1,1,0,1,0,1,1,2,1,2,3,1,0,0,1,3,4,1,0,1,3,2,0,0,2,1,1,4,1,3,1,0,1,2,0,0,3,0,1,0,3,0,5,3,2,0
"call",4,2,0,0,0,0,0,3,1,0,0,1,3,6,0,0,1,1,0,0,0,0,4,1,3,1,0,2,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,2,0,0
"campaign",1,0,0,0,2,0,0,1,3,1,1,0,0,3,0,2,1,2,3,0,0,3,1,0,0,1,0,1,0,3,0,0,2,0,0,0,1,0,0,0,1,2,0,0,0,2,1,1,2
"countri",10,6,4,0,1,0,0,7,0,0,2,0,5,5,1,2,0,0,0,2,2,1,0,0,0,0,15,1,0,0,3,0,0,5,0,1,5,2,0,1,0,1,0,1,0,1,1,1,0
"dtrump",1,1,0,1,2,1,1,1,2,2,2,0,1,4,1,1,1,1,0,1,1,1,1,0,0,2,0,1,0,2,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
"effort",1,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,1,2,0,2,1
"feder",1,0,4,2,2,1,0,1,3,1,0,0,0,3,0,0,0,0,0,1,1,0,0,4,0,0,0,1,1,0,0,1,2,1,0,4,0,0,1,0,0,0,0,0,0,6,0,0,0
"foreign",2,0,4,0,0,0,1,1,0,0,3,0,2,2,0,0,1,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,2,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0
"govern",2,0,1,0,3,0,0,0,4,0,0,3,1,9,4,0,1,2,0,0,0,0,0,0,0,1,1,1,0,2,1,0,2,0,1,2,3,0,0,2,0,3,0,0,0,2,2,0,0
"group",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"includ",1,0,1,0,1,0,0,1,2,0,2,2,0,2,2,1,0,4,0,3,0,2,1,0,0,0,1,0,2,0,2,0,0,1,2,0,1,0,0,1,0,1,0,0,2,2,3,1,1
"made",1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,0,1,1,1,1
"month",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,1,2,0,2,2,0,0,0,0,2,1,0,2,0
"move",1,0,1,0,0,0,7,0,0,1,4,0,2,2,2,1,2,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,2,2,0,0,0,0,1,1,0,0
"nation",3,0,1,0,0,0,0,0,2,0,0,0,4,3,0,2,3,0,0,0,1,1,0,1,0,0,11,1,0,0,7,2,2,0,1,0,2,0,1,0,0,0,0,4,1,0,0,0,1
"obama",1,0,0,0,3,0,0,3,0,0,5,1,5,1,1,2,3,0,4,1,0,1,1,5,0,0,0,1,0,0,0,3,2,0,1,0,0,1,2,0,0,0,0,0,0,3,5,0,1
"part",1,0,0,0,0,1,1,0,1,0,0,0,1,1,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,3,0,3
"peopl",2,0,1,0,0,1,0,0,2,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
"plan",3,1,2,12,1,0,1,4,3,0,0,0,0,2,1,2,0,4,6,2,1,0,0,2,3,0,1,2,0,3,2,0,2,0,1,1,1,2,2,1,0,0,0,2,0,0,1,1,1
"polici",3,0,0,1,1,0,5,3,8,0,1,0,0,2,0,0,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,1,0,2,1,1,2,0,4,0,1
"presid",1,1,1,0,1,2,1,2,0,2,6,4,5,5,1,1,1,1,3,1,3,2,3,3,8,2,5,2,2,3,0,7,1,6,2,2,2,2,3,6,1,4,0,4,2,3,2,7,3
"presidentelect",1,1,0,0,2,3,3,1,0,2,2,0,5,15,1,1,3,1,0,2,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"program",7,1,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,1,1,0,0,0,2,0,1,0
"report",3,2,0,0,0,2,0,0,0,2,0,0,1,2,2,0,0,1,0,1,2,2,4,1,0,4,7,0,0,9,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
"requir",1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"rule",1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,8,0,0,0,1,0,0,0,2,6,0,0,1,0,0,0,0,0,0,5,0,0,0,0,5,0,2,2,0,0
"secur",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,13,0,1,3,1,0,3,1,0,0,0,1,0,0,0,0,0,3,1,2,1,0,0
"show",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,2,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1
"start",1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0
"state",1,7,0,0,2,3,0,1,1,0,0,0,5,6,1,1,11,1,3,0,3,1,0,1,2,1,12,3,0,1,0,1,3,2,1,1,0,3,0,0,1,1,2,0,1,0,1,6,0
"support",1,0,0,0,2,0,0,0,5,2,1,0,0,0,1,0,0,0,3,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4,0,2
"time",1,1,0,0,0,0,0,1,0,1,0,3,2,4,1,0,0,0,0,3,0,0,2,1,0,1,0,0,0,2,1,0,0,0,0,1,0,2,0,4,0,2,1,1,7,1,0,0,2
"told",3,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,1
"trump",8,8,0,14,2,16,7,5,3,9,5,6,15,54,8,9,6,5,16,12,5,7,7,9,1,3,0,5,1,5,2,2,3,8,2,0,7,0,0,17,12,11,0,7,15,12,8,9,1
"unit",1,6,1,0,0,1,0,1,1,0,0,0,0,2,1,1,0,1,0,0,3,1,0,0,1,0,4,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,3,0
"week",3,0,0,0,0,1,0,0,0,0,1,1,6,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,4,1,0,1,0
"work",1,0,0,0,1,0,0,1,2,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1,2,0,0,0,3,0,4,2,0,0,0,0,4,0
"year",2,1,2,2,1,1,2,1,2,0,2,7,0,3,1,2,2,1,0,3,3,1,0,0,3,1,0,1,1,1,1,1,3,0,1,1,6,2,4,2,1,1,1,0,1,1,1,0,1
"action",0,1,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,3,1,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,1,1
"agenc",0,1,0,0,0,0,0,0,1,0,2,0,6,1,0,0,1,0,1,2,1,1,1,3,0,2,1,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"china",0,2,1,0,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,2,0,0,0,11,0,0,0,0,0,9,0
"clear",0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,2,0
