"","DSI_02.txt","DSI_03.txt","DSI_05.txt","DSI_07.txt","DSI_08.txt","DSI_11.txt","DSI_16.txt","DSI_18.txt","DSI_21.txt","DSI_22.txt","DSI_23.txt","DSI_26.txt","DSI_28.txt","DSI_29.txt","DSI_32.txt","DSI_33.txt","DSI_34.txt","DSI_36.txt","DSI_38.txt","DSI_44.txt","DSI_47.txt"
"action",1,3,1,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,4,0,2
"agenc",1,0,0,0,0,2,0,0,1,1,1,2,1,0,0,4,0,1,0,0,0
"allow",1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"call",2,0,0,0,3,0,0,1,0,0,4,1,2,0,0,0,1,1,1,0,2
"china",2,1,0,1,2,0,0,0,10,2,0,0,0,0,0,0,0,0,2,0,0
"compani",1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
"confer",1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,1,0
"countri",6,4,1,0,7,2,2,0,2,1,0,0,1,0,0,0,5,1,2,1,1
"dtrump",1,0,2,1,1,2,1,1,1,1,1,2,1,0,0,1,0,1,1,0,0
"execut",1,1,3,1,0,0,1,0,0,0,0,0,4,0,2,0,2,0,0,2,0
"friday",7,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1
"great",1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0
"issu",1,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,0
"leader",1,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,2
"made",1,0,0,1,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,1,1
"month",1,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0
"offic",1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
"plan",1,2,1,1,4,0,2,4,1,0,0,0,2,0,0,2,0,1,2,2,1
"potenti",1,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0
"presid",1,1,1,1,2,6,1,1,3,2,3,2,2,2,7,1,6,2,2,4,2
"presidentelect",1,0,2,3,1,2,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0
"protect",1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1
"question",1,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,0,1,0,0
"receiv",1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0
"report",2,0,0,0,0,0,0,1,2,2,4,4,0,0,0,1,0,1,0,0,0
"republican",1,0,1,1,3,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,3
"state",7,0,2,0,1,0,1,1,3,1,0,1,3,0,1,3,2,1,3,0,1
"statement",1,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0
"time",1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,0
"trade",1,2,1,6,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"trump",8,0,2,7,5,5,9,5,5,7,7,3,5,1,2,3,8,0,0,7,8
"tweet",3,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,3,0,1,0,0
"unit",6,1,0,0,1,0,1,1,3,1,0,0,2,0,1,0,0,0,1,0,2
"year",1,2,1,2,1,2,2,1,3,1,0,1,1,1,1,3,0,1,2,0,1
"administr",0,1,1,1,0,2,0,1,1,0,1,0,2,1,1,3,1,1,0,3,3
"america",0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,3,1,0,0,0,0
"american",0,5,1,2,1,2,1,0,1,0,0,1,3,0,0,0,0,0,0,0,5
"billion",0,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"cancel",0,1,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"chang",0,2,2,1,2,0,3,1,1,0,0,0,4,0,0,1,0,1,1,0,0
"climat",0,1,2,0,0,0,3,0,5,0,0,0,3,0,0,1,0,0,0,0,0
"communiti",0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1
"congress",0,1,0,0,2,1,1,1,0,0,0,1,0,1,0,3,0,0,0,1,1
"cost",0,1,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"deal",0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,2
"econom",0,1,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0
"economi",0,1,0,2,1,0,1,0,1,0,0,0,0,2,3,1,0,0,0,0,1
"elect",0,1,0,1,0,2,0,0,2,3,1,2,1,0,4,0,0,0,0,0,1
"environment",0,1,0,0,2,0,2,0,0,0,0,0,4,0,1,1,0,0,0,0,0
"feder",0,4,2,0,1,0,0,0,1,0,0,0,1,1,1,2,1,4,0,0,0
"foreign",0,4,0,1,1,3,0,0,1,0,0,1,0,0,0,2,0,0,1,2,0
"govern",0,1,3,0,0,0,0,2,0,0,0,1,1,0,0,2,0,2,0,0,2
"hous",0,2,0,1,0,0,0,2,0,0,0,0,0,3,0,1,1,1,0,0,0
"immigr",0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"includ",0,1,1,0,1,2,1,4,0,2,1,0,0,2,0,0,1,0,0,0,3
"leav",0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2
"make",0,1,1,0,1,1,0,2,0,1,0,0,1,0,2,5,1,0,1,0,1
"measur",0,2,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2
"money",0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1
"move",0,1,0,7,0,4,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1
"nation",0,1,0,0,0,0,2,0,1,1,0,0,1,0,2,2,0,0,0,4,0
"order",0,2,2,0,0,0,0,0,0,0,0,0,9,0,0,0,6,5,0,6,1
"privat",0,1,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"public",0,2,3,0,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0
"regul",0,2,0,0,1,0,3,0,0,0,0,0,4,1,4,1,0,0,0,0,0
"restrict",0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,2
"rule",0,1,0,0,1,1,2,0,0,0,0,0,2,6,1,0,0,0,0,5,2
"secretari",0,2,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0
"secur",0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,0,1,3,1
"wall",0,1,0,0,2,0,2,7,0,0,0,0,0,0,0,2,0,0,0,1,1
"washington",0,3,1,0,0,3,0,0,0,0,0,3,0,0,0,1,1,0,3,0,1
"barack",0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1
"campaign",0,0,2,0,1,1,2,2,0,3,1,1,1,0,0,2,0,0,0,0,1
"depart",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,1,0,0
"direct",0,0,1,1,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3
"increas",0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0
"obama",0,0,3,0,3,5,2,0,0,1,1,0,1,0,3,2,0,0,1,0,5
"polici",0,0,1,5,3,1,0,0,1,1,0,0,1,0,1,0,0,0,2,1,4
"power",0,0,2,0,1,0,2,0,1,0,0,1,6,0,0,4,0,0,0,2,0
"promis",0,0,1,0,4,0,2,1,1,0,0,0,1,0,1,1,0,0,0,0,1
"support",0,0,2,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,4
"border",0,0,0,2,1,0,1,8,0,0,0,0,0,0,0,2,0,0,2,0,0
"continu",0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0
"face",0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
"part",0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,3
"recent",0,0,0,2,0,0,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0
"vote",0,0,0,1,1,0,0,1,0,2,0,0,0,5,0,0,1,0,0,3,0
"claim",0,0,0,0,0,1,3,0,0,0,1,2,0,0,0,1,1,0,0,0,1
"intellig",0,0,0,0,0,3,0,0,0,5,1,4,0,0,0,0,0,0,1,0,1
"parti",0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,1,0,0,2,0,0
"senat",0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,1,2,0,0,0,1
"servic",0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,0,1,0,0,1
"week",0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0,0,1,0,0
"sign",0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,1
