"","DSI_01.txt","DSI_06.txt","DSI_10.txt","DSI_12.txt","DSI_15.txt","DSI_17.txt","DSI_20.txt","DSI_30.txt","DSI_41.txt","DSI_42.txt","DSI_45.txt","DSI_46.txt","DSI_48.txt"
"activ",1,2,0,0,0,1,0,0,1,0,0,0,0
"administr",1,0,1,1,1,0,4,1,0,1,0,5,2
"call",4,0,0,1,0,1,0,0,0,1,0,0,0
"campaign",1,0,1,0,0,1,0,3,1,2,0,2,1
"complet",3,1,0,0,1,0,1,0,0,0,0,0,0
"countri",10,0,0,0,1,0,2,0,0,1,0,1,1
"domest",1,0,0,0,1,0,1,0,0,0,1,0,0
"dtrump",1,1,2,0,1,1,1,2,0,0,0,1,1
"effort",1,3,0,0,1,1,1,0,0,2,1,2,2
"enforc",1,1,0,0,0,0,1,1,0,0,0,4,0
"feder",1,1,1,0,0,0,1,0,0,0,0,6,0
"foreign",2,0,0,0,0,1,0,0,0,2,1,0,0
"general",1,2,0,0,0,2,0,0,0,0,0,1,0
"govern",2,0,0,3,4,1,0,2,0,3,0,2,0
"group",1,1,0,0,0,1,1,2,0,0,0,0,0
"high",1,0,1,0,0,0,0,1,0,0,2,0,0
"immigr",8,0,1,1,1,0,0,0,0,0,1,16,0
"includ",1,0,0,2,2,0,3,0,0,1,2,2,1
"made",1,0,1,0,0,0,1,0,2,1,0,1,1
"month",1,1,0,0,0,0,0,1,0,0,2,1,2
"move",1,0,1,0,2,2,1,1,2,0,0,1,0
"obama",1,0,0,1,1,3,1,0,0,0,0,3,0
"part",1,1,0,0,2,0,1,0,2,0,0,0,0
"peopl",2,1,0,1,1,1,0,1,0,0,0,0,0
"plan",3,0,0,0,1,0,2,3,0,0,0,0,1
"prepar",1,1,1,0,0,1,0,0,0,1,0,0,1
"presid",1,2,2,4,1,1,1,3,1,4,2,3,7
"presidentelect",1,3,2,0,1,3,2,0,0,0,0,0,0
"process",1,0,0,1,1,0,2,0,0,0,0,0,0
"program",7,0,0,0,0,0,0,0,1,1,0,2,1
"quick",1,0,1,0,1,0,0,0,0,0,0,1,0
"ralli",1,0,0,0,1,0,0,0,1,0,4,0,0
"releas",1,0,0,0,0,1,0,0,1,1,1,0,0
"report",3,2,2,0,2,0,1,9,0,0,1,0,0
"requir",1,0,0,0,1,0,1,0,0,1,0,1,0
"rule",1,1,0,0,0,0,8,0,0,0,0,2,0
"secur",1,0,0,0,0,0,0,3,0,0,1,2,0
"start",1,0,0,0,1,0,0,1,0,0,2,0,0
"state",1,3,0,0,1,11,0,1,1,1,1,0,6
"stop",1,1,0,0,1,1,0,0,0,0,0,0,0
"support",1,0,2,0,1,0,0,0,2,0,0,0,0
"target",2,0,0,1,0,0,2,1,0,1,0,0,0
"threat",1,0,0,0,0,0,0,0,1,1,0,1,0
"time",1,0,1,3,1,0,3,2,0,2,7,1,0
"told",3,0,2,0,0,0,0,1,0,0,1,0,0
"transit",1,1,3,0,0,0,1,0,0,0,0,0,0
"trump",8,16,9,6,8,6,12,5,12,11,15,12,9
"unit",1,1,0,0,1,0,0,1,0,1,0,0,3
"week",3,1,0,1,0,0,0,0,0,1,4,1,1
"work",1,0,0,2,1,1,0,2,0,4,0,0,4
"year",2,1,0,7,1,2,3,1,1,1,1,1,0
"clear",0,1,0,1,0,0,0,0,1,0,2,0,2
"continu",0,1,0,2,0,0,0,0,0,0,1,1,1
"decis",0,1,0,1,0,0,1,0,1,0,0,0,0
"direct",0,1,0,1,0,0,1,0,0,0,1,0,0
"forc",0,1,0,0,1,0,0,0,0,1,0,1,0
"issu",0,1,1,0,0,0,0,0,1,1,0,1,0
"million",0,3,0,0,2,0,0,0,0,0,1,1,0
"offic",0,2,0,0,1,0,2,0,1,0,2,3,0
"order",0,1,0,0,1,0,2,0,0,0,1,4,0
"remain",0,1,1,0,0,0,0,0,3,0,0,1,0
"repeat",0,1,0,1,1,0,0,0,0,0,1,0,0
"secretari",0,1,0,0,0,0,0,1,0,0,0,1,2
"step",0,4,0,1,0,1,0,1,0,1,0,0,0
"suggest",0,2,0,0,1,0,1,0,0,1,1,0,0
"wrote",0,1,0,0,0,0,0,0,1,2,1,0,1
"york",0,2,0,0,1,3,0,0,0,0,1,0,0
"appeal",0,0,1,0,0,0,1,0,0,0,1,1,0
"april",0,0,1,1,0,0,0,1,1,0,0,0,1
"case",0,0,2,0,0,0,1,0,2,0,0,1,0
"court",0,0,11,0,0,0,3,0,0,0,1,3,0
"democrat",0,0,4,1,2,6,0,0,3,0,0,0,0
"earli",0,0,2,2,0,0,1,0,0,0,1,2,0
"execut",0,0,1,0,0,0,1,0,0,0,1,2,0
"leader",0,0,1,1,1,0,0,1,1,1,0,0,1
"major",0,0,2,4,0,0,0,1,3,0,1,1,0
"make",0,0,1,1,2,0,1,0,0,0,0,2,1
"member",0,0,1,0,1,0,0,1,1,0,1,0,0
"polit",0,0,1,2,0,1,0,0,5,0,0,0,0
"republican",0,0,2,3,3,0,0,1,5,0,1,0,0
"senat",0,0,4,4,1,1,0,1,0,0,0,0,0
"take",0,0,1,0,0,1,2,0,0,0,0,1,0
"term",0,0,1,0,0,1,0,0,1,1,0,0,0
"vote",0,0,1,1,0,1,0,0,0,0,3,0,0
"agenda",0,0,0,2,0,1,0,0,1,0,2,0,0
"approv",0,0,0,2,1,0,1,0,1,0,0,0,0
"back",0,0,0,2,0,2,1,0,2,0,0,2,0
"bill",0,0,0,9,3,1,0,0,0,0,1,1,0
"congress",0,0,0,1,4,0,2,4,1,1,1,1,0
"face",0,0,0,1,1,0,0,0,1,1,0,0,0
"fund",0,0,0,3,3,0,0,4,0,0,0,4,0
"hous",0,0,0,7,1,2,0,2,0,0,2,0,0
"long",0,0,0,1,1,1,0,0,0,0,1,0,0
"meet",0,0,0,1,0,0,1,0,0,1,0,0,4
"request",0,0,0,1,1,0,0,1,0,0,0,1,0
"ahead",0,0,0,0,1,1,0,0,0,1,1,0,0
"american",0,0,0,0,2,1,1,0,2,1,2,0,2
"border",0,0,0,0,7,0,0,6,0,1,1,6,0
"congression",0,0,0,0,2,0,0,1,1,0,1,0,0
"construct",0,0,0,0,4,0,0,5,0,0,1,2,0
"offici",0,0,0,0,1,0,0,2,2,0,0,0,3
"parti",0,0,0,0,1,3,0,0,1,1,0,0,0
"sign",0,0,0,0,1,0,0,1,0,0,1,1,0
"wall",0,0,0,0,11,1,0,6,0,0,3,5,0
"elect",0,0,0,0,0,5,0,0,2,1,5,0,0
"promis",0,0,0,0,0,1,1,1,0,1,0,1,0
"action",0,0,0,0,0,0,3,1,0,0,0,2,1
"intern",0,0,0,0,0,0,2,1,0,1,0,0,1
