"","DSI_09.txt","DSI_25.txt","DSI_31.txt","DSI_35.txt","DSI_37.txt","DSI_39.txt","DSI_43.txt","DSI_49.txt"
"address",2,0,0,0,2,0,1,0
"administr",1,2,4,0,2,0,0,0
"agre",1,0,0,0,1,3,0,0
"american",5,11,1,1,1,0,0,3
"argu",2,0,0,0,1,1,1,0
"benefit",3,0,0,1,1,0,0,0
"bill",1,2,0,2,0,1,8,7
"billion",2,0,2,0,7,0,0,0
"busi",2,0,2,0,0,0,1,0
"call",1,3,0,0,1,0,0,0
"campaign",3,0,0,0,1,0,0,2
"china",3,0,7,0,3,0,0,0
"competit",3,0,0,1,1,0,0,0
"congress",3,0,0,2,1,0,0,5
"congression",3,1,0,1,0,0,0,1
"conserv",1,2,0,5,0,1,4,0
"continu",2,2,0,2,1,0,0,0
"creat",3,0,1,1,1,0,0,0
"critic",2,0,0,0,1,1,1,0
"deal",1,1,2,0,3,0,0,0
"democrat",2,0,0,4,0,10,0,2
"discuss",4,1,3,0,0,0,0,0
"drive",1,0,0,0,1,0,1,1
"economi",3,0,1,1,0,0,0,0
"effect",3,0,0,1,2,0,0,0
"elect",2,0,0,1,0,0,0,5
"final",1,1,0,0,0,2,0,0
"focus",4,1,1,0,0,0,0,0
"futur",2,0,0,1,0,2,0,0
"generat",1,1,0,0,0,1,0,0
"global",2,0,1,0,1,0,0,0
"good",1,1,1,0,2,0,0,0
"govern",4,0,1,1,3,0,0,0
"high",1,1,0,0,0,3,0,0
"hous",1,3,2,5,0,0,0,3
"includ",2,0,2,2,1,0,0,1
"increas",2,1,0,0,2,0,0,0
"institut",3,0,0,1,1,0,0,0
"interest",1,0,0,0,0,0,1,1
"interview",2,0,1,0,0,1,0,0
"invest",10,1,0,0,4,0,0,1
"level",2,0,1,0,1,0,0,0
"main",1,0,1,0,0,0,0,1
"make",1,1,1,2,0,1,0,1
"mean",2,0,1,0,0,0,0,1
"measur",1,1,0,0,1,0,0,0
"meet",1,2,0,0,1,1,3,0
"nation",2,0,7,1,2,1,0,1
"open",1,0,0,1,0,0,1,0
"part",1,0,2,0,1,0,0,3
"pass",1,0,0,0,0,0,1,3
"plan",3,3,2,1,1,2,0,1
"polici",8,0,0,0,2,0,1,1
"polit",4,0,0,1,0,0,1,4
"power",2,0,0,3,0,0,0,2
"pressur",2,0,1,0,2,0,0,0
"public",5,0,0,0,0,0,2,1
"push",1,0,1,0,2,0,0,3
"republican",1,2,0,11,0,9,7,11
"requir",1,0,0,1,1,0,0,0
"rest",1,0,1,1,0,0,0,0
"spend",17,1,0,0,2,0,0,0
"spent",1,2,0,0,1,0,0,0
"state",1,2,0,1,0,0,2,0
"support",5,1,0,0,1,0,1,2
"told",1,0,0,1,0,0,1,1
"trump",3,1,2,2,7,0,0,1
"unit",1,1,0,0,1,0,0,0
"version",1,0,0,1,0,0,0,1
"washington",1,0,1,1,0,0,1,0
"work",2,3,1,1,0,0,2,0
"year",2,3,1,1,6,4,1,1
"afford",0,1,0,1,0,1,0,1
"approv",0,1,0,1,0,0,0,1
"care",0,4,0,3,0,0,1,5
"choic",0,1,0,1,0,2,0,0
"effort",0,1,1,1,0,0,0,1
"health",0,5,0,2,0,0,0,4
"insur",0,2,0,1,0,0,2,0
"join",0,1,0,0,0,1,2,0
"late",0,1,2,1,0,1,0,0
"member",0,3,0,5,0,0,1,2
"move",0,1,0,0,1,1,0,0
"obamacar",0,5,0,3,0,0,3,7
"offer",0,1,0,0,1,0,1,0
"offici",0,1,1,0,1,0,1,1
"parti",0,1,0,4,0,0,0,6
"percent",0,3,0,1,6,0,0,3
"premium",0,2,0,0,0,0,2,1
"presid",0,8,0,2,2,3,0,3
"promis",0,2,0,0,0,0,1,3
"repeal",0,2,0,2,0,0,2,8
"replac",0,2,0,2,0,3,0,3
"side",0,1,0,0,0,0,1,1
"thing",0,1,0,1,0,0,0,2
"union",0,1,1,0,0,0,0,1
"vote",0,3,0,6,0,6,2,1
"week",0,2,0,1,1,2,0,0
"white",0,1,2,2,0,0,0,0
"associ",0,0,1,0,1,0,0,1
"compani",0,0,1,0,4,0,1,0
"growth",0,0,1,1,1,0,0,0
"made",0,0,1,1,1,1,0,1
"negoti",0,0,2,1,1,0,2,0
"north",0,0,1,3,1,0,0,0
"signific",0,0,1,0,0,0,1,1
"time",0,0,1,0,0,0,1,2
"back",0,0,0,1,2,0,0,1
"caucus",0,0,0,7,0,1,0,1
"control",0,0,0,1,0,1,0,2
"hard",0,0,0,1,1,0,0,1
"import",0,0,0,1,2,1,0,0
"leader",0,0,0,2,0,3,5,0
"lose",0,0,0,1,1,0,1,0
"major",0,0,0,1,0,4,1,2
"obama",0,0,0,1,0,2,0,1
"show",0,0,0,1,1,0,0,1
"warn",0,0,0,1,1,2,0,0
"expect",0,0,0,0,1,1,1,0
