"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","trump","countri","energi","trump","republican","plan"
"2","presid","trade","polici","state","presid","trump"
"3","russia","china","american","presidentelect","senat","wall"
"4","intellig","state","project","busi","bill","hous"
"5","week","nation","power","elect","court","congress"
"6","russian","korea","administr","foundat","vote","govern"
"7","call","secretari","chang","interest","care","year"
"8","offici","unit","order","offic","democrat","immigr"
"9","obama","north","invest","negoti","conserv","border"
"10","news","secur","regul","effort","health","mexico"
